假设,假定
假如,假设
家喻户晓,众所周知
家破人亡,流离失所
加紧,抓紧
忌妒,妒忌
记述,记叙
几乎,几近
嫉妒,妒忌
集思广益,群策群力
集聚,会聚
即将,行将
即便,即使
激发,激起
鸡鸣狗盗,旁门左道
讥刺,讽刺
祸害,祸患
获悉,得悉
获得,取得
活路,生路
混同,混淆
魂不守舍,失魂落魄
昏头昏脑,晕头转向
会聚,集聚
汇聚,会聚
汇集,聚集
慌手慌脚,手忙脚乱
画蛇添足,弄巧成拙
化为泡影,化为乌有
互相,相互
宏图,雄图
横七竖八,杂乱无章
核查,核对
和衷共济,同心协力
沆瀣一气,狼狈为奸
含意,含义
害羞,害臊
海市蜃楼,空中楼阁
瑰丽,绮丽
瑰宝,珍宝
管教,管束
瓜葛,关系
顾惜,爱惜
顾全,保全
共计,总计
耿直,正直
根源,本源
敢于,勇于
赶紧,赶忙
复旧,复古
妇孺皆知,家喻户晓
俯首贴耳,唯命是从
奉还,归还
风声鹤唳,草木皆兵
风靡,风行
丰饶,富饶
焚烧,燃烧
分道扬镳,各奔前程
费劲,费力
飞黄腾达,青云直上
飞蛾扑火,自取灭亡
放任自流,任其自然
防止,避免
发祥,发源
发问,提问
发愣,发楞
发楞,发愣
发呆,发愣
遏止,抑止
恶意,歹意
恶劣,卑劣
多次,屡次
遁辞,托辞
对于,对
断定,判定
短促,急促
堵塞,梗塞
独断独行,一意孤行
督促,催促
恫吓,威吓
动工,开工
丢弃,抛弃
吊销,撤消
掂量,权衡
低声下气,低三下四
等同,同等
登时,顿时
得悉,得知
捣毁,摧毁
倒台,垮台
带路,领路
歹意,恶意
歹毒,恶毒
打探,刺探
错综复杂,扑朔迷离
寸步难行,步履维艰
促成,促进
粗豪,粗犷
凑巧,恰巧
凑近,靠近
聪颖,聪慧
从新,重新
从来,历来
刺探,打探
此后,尔后
辞退,解雇
辞世,谢世
慈爱,慈祥
唇枪舌剑,针锋相对
纯朴,质朴
垂涎三尺,垂涎欲滴
创痕,伤痕
穿凿附会,牵强附会
触类旁通,举一反三
触动,震动
处之泰然,泰然自若
处心积虑,挖空心思
储存,贮存
出头露面,抛头露面
仇敌,仇人
充耳不闻,不闻不问
赤贫如洗,一无所有
叱骂,责骂
持之以恒,锲而不舍
惩处,惩办
乘人之危,落井下石
承当,承担
承担,承当
成心,故意
成千上万,不计其数
趁势,顺势
称誉,称赞
称许,赞许
称心如意,心满意足
扯谎,撒谎
吵嚷,喧嚷
畅所欲言,各抒己见
常年,终年
昌盛,兴盛
拆除,撤除
差遣,派遣
差错,过失
姹紫嫣红,万紫千红
诧异,惊讶
察觉,发觉
策动,策划
嘈杂,喧闹
操办,筹办
苍穹,天穹
苍凉,凄凉
仓猝,匆促
参差不齐,良莠不齐
裁决,判决
布防,设防
不知所措,手足无措
不屑一顾,嗤之以鼻
不务正业,游手好闲
不闻不问,漠不关心
不妨,无妨
不动声色,若无其事
博览群书,博学多才
播送,广播
并驾齐驱,不相上下
别人,他人
鞭长莫及,力所不及
比照,对照
本源,根源
杯水车薪,无济于事
暴跳如雷,大发雷霆
暴发,爆发
板滞,呆板
斑驳陆离,光怪陆离
败退,溃退
罢职,撤职
罢黜,免除
把握,掌控
黯淡,暗淡
暗淡,昏暗
安如磐石,安如泰山
爱莫能助,心有余而力不足
唉声叹气,长吁短叹
如同,犹如
倦怠,疲倦
赐给,赏给
繁茂,茂盛
但若,但如果
妇检,妇科体检
妇科体检,妇检
特有的,独有的
不得不,不能不
有无,有没有
有没有,有无
这时,这时候
就治,就诊
就诊,救治
彩超,彩色B超
彩色B超,彩超
日后,往后
仅有,唯一
变为,变成
改为,改成
是否,是不是
是不是,是否是
每个,每一个
每一个,每个
之后,以后
以及,和
至关,相当
好于,好过
瓜果,水果
来讲,来说
来说,来讲
日常,平常
