柑橘,柑桔
柑桔,柑橘
马铃薯,土豆
洋芋,土豆
汤匙,汤勺
一晚上,一夜
在我眼里,在我看来
在他眼里,在他看来
在她眼里,在她看来
在他们眼里,在他们看来
其实是,实际上是
另一,另外一
一块儿,一起
就能,就可以
即可,便可
便可,即可
面部,脸部
脸部,面部
放松一下,轻松一下
轻松一下,放松一下
就医,就诊
右侧,右边
左侧,左边
左边,左侧
右边,右侧
早期,初期
初期,早期
双侧,两侧
所致,而至
加剧,加重
尽可能,尽量
尽量,尽可能
少许,少量
少量,少许
常见病,常见疾病
常见疾病,常见病
缓解,减缓
受益不浅,受益匪浅
受益匪浅,受益不浅
凡有,凡是有
凡是有,凡有
概率,几率
几率,概率
糟糕,糟
越来越,愈来愈
愈来愈,越来越
方方面面,各个方面
并无,并没有
显着,明显
适量,适当
无益于,不利于
最先,最早
防寒,御寒
历时,用时
均可,都可
已经,已
没有将,未将
缘故,原因
患了,得了
近年,最近几年
之内,以内
以内,之内
以前,之前
最佳,最好
足量,充足
二者,两者
两者,二者
同样,一样
过多,过量
男女老幼,男女老少
为什么,为何
最常见,最多见
必需,必须
当成,当做
想想,想一想
想一想,想想
男友,男朋友
搞,弄
指望,期望
到底是,究竟是
准许,准予
夏朝,夏代
商朝,商代
周朝,周代
秦朝,秦代
汉朝,汉代
唐朝,唐代
宋朝,宋代
元朝,元代
明朝,明代
清朝,清代
夏代,夏朝
商代,商朝
周代,周朝
秦代,秦朝
汉代,汉朝
唐代,唐朝
宋代,宋朝
元代,元朝
明代,明朝
清代,清朝
颇有,很有
攀升,爬升
为何,为什么
持续,延续
如下,以下
-1,⑴
-2,⑵
-3,⑶
-4,⑷
-5,⑸
-6,⑹
-7,⑺
-8,⑻
-9,⑼
-10,⑽
-11,⑾
-12,⑿
-13,⒀
-14,⒁
-15,⒂
每一个,每个
每个,每一个
并非,并不是
并不是,并非
极其,极为
极为,极其
虽说,虽然说
征兆,征象
扩散,散布
彻底,完全
成为了,成了
强体健身,强身健体
强身健体,强体健身
暗地里,背后
近年,近些年
近些年,近年
这人,此人
此人,这人
未尝,何尝
何尝,未尝
获取,获得
满腹经纶,学富五车
在乎,在意
黎明,拂晓
在意,在乎
扒开,拨开
拨开,扒开
遥望,眺望
叫苦不迭,叫苦连天
叫苦连天,叫苦不迭
往返,来回
天天,每天
新房,新居
清幽,幽静
意气风发,斗志昂扬
心旷神怡,赏心悦目
当今,现今
现今,当今
殊不知,却不知
何苦,何必
一辈子,一生
缓和,和缓
问询,询问
并吞,吞并
嫉妒,妒忌
累积,积累
夜半,半夜
机电,电机
电机,机电
往来,来往
路线,线路
样子,模样
模样,样子
物是人非,事过境迁
这种,这类
哪种,哪类
愈加,越发
稍不,略不
稍加,略加
事态,局势
悬殊,差异
于是,因而
发泄,宣泄
优柔寡断,犹豫不决
琐事,杂事
杂事,琐事
再也不,不再
两码事,两回事
经受,承受
易如反掌,轻而易举
惨痛,惨重
曾经,曾
日益,日趋
日趋,日益
言谈举止,言行举止
哀痛,哀思
挨次,依次
挨近,靠近
安抚,抚慰
安如,安若
安若,安如
按次,顺次
暗算,暗害
凹透镜,凹面镜
凸透镜,凸面镜
凹面镜,凹透镜
凸面镜,凸透镜
安妥,稳妥
安歇,安息
暗语,隐语
白日,白天
百战不殆,百战百胜
摆布,左右
摆阔,显摆
败落,衰落
半壁河山,半壁江山
无非,不过
采集,收集
残存,残余
惨然,惨淡
惨重,惨痛
惨剧,悲剧
造成的,酿成的
彻头彻尾,彻彻底底
撤兵,撤军
撤军,撤兵
岔路,岔道
岔道,岔路
奼紫嫣红,万紫千红
茶馆,茶社
查办,查究
插足,插手
插手,插足
层出不穷,层见叠出
才智,才干
才高气傲,恃才傲物
恃才傲物,才高气傲
擦拳磨掌,摩拳擦掌
猜测,猜想
暴跌,狂跌
狂跌,暴跌
笨嘴,笨口
拙见,鄙见
逼不得已,必不得以
兵营,军营
不日,克日
不闻不问,不理不睬
不许,不准
不虚此行,不枉此行
不折不扣,彻彻底底
不管是,不论是
非但,不但
前几天,头几天
头几天,前几天
患上,得
妇科疾病,妇科病
妇科病,妇科疾病
真正的,真实的
意识到,意想到
言行举止,言谈举止
职业女性,职场女性
免了吧,算了吧
不比是,不像是
先后,前后
已是,已经是
撤消,撤销
撤销,撤消
弹无虚发,百发百中
岁月如梭,光阴似箭
尤为,尤其
惟一,唯一
暗度陈仓,暗渡陈仓
把势,把式
班配,般配
棒棰,棒槌
暴光,曝光
报导,报道
悲忿,悲愤
背理,悖理
比画,比划
笔心,笔芯
荜路蓝缕,筚路蓝缕
辩辞,辩词
部份,部分
菜子,菜籽
仓遑,仓惶
唱工,唱功
承上起下,承上启下
吃里扒外,吃里爬外
踟躇,踟蹰
串连,串联
辞汇,词汇
词令,辞令
哒哒,嗒嗒
打冷颤,打冷战
铛铛,当当
当做,当作
捣腾,倒腾
悼辞,悼词
灯心,灯芯
滴里嘟噜,嘀里嘟噜
钉梢,盯梢
丢三拉四,丢三落四
峨嵋山,峨眉山
翻然,幡然
忿恨,愤恨
夫倡妇随,夫唱妇随
浮图,浮屠
辐凑,辐辏
福份,福分
赋与,赋予
夹肢窝,胳肢窝
干嘛,干吗
格登,咯噔
根抵,根底
梗咽,哽咽
宫廷,宫庭
勾针,钩针
够戗,够呛
孤伶伶,孤零零
轱轳,轱辘
故技,故伎
刮刮叫,呱呱叫
寒颤,寒战
嚎啕,号啕
好高务远,好高骛远
贺辞,贺词
黑鼓隆咚,黑咕隆咚
轰笑,哄笑
宏亮,洪亮
花狸狐哨,花里胡哨
花梢,花哨
花消,花销
黄历,皇历
混身,浑身
浑沌,混沌
辑逸,辑佚
记要,纪要
趼子,茧子
交待,交代
脚鸭子,脚丫子
脚指,脚趾
叫真,较真
菁华,精华
警省,警醒
酒钟,酒盅
倔犟,倔强
开消,开销
看做,看作
老趼,老茧
乐和和,乐呵呵
乐孜孜,乐滋滋
伶牙利齿,伶牙俐齿
蹓弯儿,遛弯儿
乱烘烘,乱哄哄
罗纹,螺纹
慢道,漫道
慢说,漫说
冒然,贸然
棉子,棉籽
藐小,渺小
渺远,邈远
溟溟,冥冥
摸棱两可,模棱两可
秣马利兵,秣马厉兵
木犀,木樨
闹轰轰,闹哄哄
粘稠,黏稠
粘糊,黏糊
粘土,黏土
粘性,粘性
